Date,Date,Open,High,Low,Close
2021-02-23,2021-02-23,123.76000213623047,126.70999908447266,118.38999938964844,125.86000061035156
2021-02-24,2021-02-24,124.94000244140625,125.55999755859375,122.2300033569336,125.3499984741211
2021-02-25,2021-02-25,124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376953
2021-02-26,2021-02-26,122.58999633789062,124.8499984741211,121.19999694824219,121.26000213623047
2021-03-01,2021-03-01,123.75,127.93000030517578,122.79000091552734,127.79000091552734
2021-03-02,2021-03-02,128.41000366210938,128.72000122070312,125.01000213623047,125.12000274658203
2021-03-03,2021-03-03,124.80999755859375,125.70999908447266,121.83999633789062,122.05999755859375
2021-03-04,2021-03-04,121.75,123.5999984741211,118.62000274658203,120.12999725341797
2021-03-05,2021-03-05,120.9800033569336,121.94000244140625,117.56999969482422,121.41999816894531
2021-03-08,2021-03-08,120.93000030517578,121.0,116.20999908447266,116.36000061035156
2021-03-09,2021-03-09,119.02999877929688,122.05999755859375,118.79000091552734,121.08999633789062
2021-03-10,2021-03-10,121.69000244140625,122.16999816894531,119.44999694824219,119.9800033569336
2021-03-11,2021-03-11,122.54000091552734,123.20999908447266,121.26000213623047,121.95999908447266
2021-03-12,2021-03-12,120.4000015258789,121.16999816894531,119.16000366210938,121.02999877929688
2021-03-15,2021-03-15,121.41000366210938,124.0,120.41999816894531,123.98999786376953
2021-03-16,2021-03-16,125.69999694824219,127.22000122070312,124.72000122070312,125.56999969482422
2021-03-17,2021-03-17,124.05000305175781,125.86000061035156,122.33999633789062,124.76000213623047
2021-03-18,2021-03-18,122.87999725341797,123.18000030517578,120.31999969482422,120.52999877929688
2021-03-19,2021-03-19,119.9000015258789,121.43000030517578,119.68000030517578,119.98999786376953
2021-03-22,2021-03-22,120.33000183105469,123.87000274658203,120.26000213623047,123.38999938964844
2021-03-23,2021-03-23,123.33000183105469,124.23999786376953,122.13999938964844,122.54000091552734
2021-03-24,2021-03-24,122.81999969482422,122.9000015258789,120.06999969482422,120.08999633789062
2021-03-25,2021-03-25,119.54000091552734,121.66000366210938,119.0,120.58999633789062
2021-03-26,2021-03-26,120.3499984741211,121.4800033569336,118.91999816894531,121.20999908447266
2021-03-29,2021-03-29,121.6500015258789,122.58000183105469,120.7300033569336,121.38999938964844
2021-03-30,2021-03-30,120.11000061035156,120.4000015258789,118.86000061035156,119.9000015258789
2021-03-31,2021-03-31,121.6500015258789,123.5199966430664,121.1500015258789,122.1500015258789
2021-04-01,2021-04-01,123.66000366210938,124.18000030517578,122.48999786376953,123.0
2021-04-05,2021-04-05,123.87000274658203,126.16000366210938,123.06999969482422,125.9000015258789
2021-04-06,2021-04-06,126.5,127.12999725341797,125.6500015258789,126.20999908447266
2021-04-07,2021-04-07,125.83000183105469,127.91999816894531,125.13999938964844,127.9000015258789
2021-04-08,2021-04-08,128.9499969482422,130.38999938964844,128.52000427246094,130.36000061035156
2021-04-09,2021-04-09,129.8000030517578,133.0399932861328,129.47000122070312,133.0
2021-04-12,2021-04-12,132.52000427246094,132.85000610351562,130.6300048828125,131.24000549316406
2021-04-13,2021-04-13,132.44000244140625,134.66000366210938,131.92999267578125,134.42999267578125
2021-04-14,2021-04-14,134.94000244140625,135.0,131.66000366210938,132.02999877929688
2021-04-15,2021-04-15,133.82000732421875,135.0,133.63999938964844,134.5
2021-04-16,2021-04-16,134.3000030517578,134.6699981689453,133.27999877929688,134.16000366210938
2021-04-19,2021-04-19,133.50999450683594,135.47000122070312,133.33999633789062,134.83999633789062
2021-04-20,2021-04-20,135.02000427246094,135.52999877929688,131.80999755859375,133.11000061035156
2021-04-21,2021-04-21,132.36000061035156,133.75,131.3000030517578,133.5
2021-04-22,2021-04-22,133.0399932861328,134.14999389648438,131.41000366210938,131.94000244140625
2021-04-23,2021-04-23,132.16000366210938,135.1199951171875,132.16000366210938,134.32000732421875
2021-04-26,2021-04-26,134.8300018310547,135.05999755859375,133.55999755859375,134.72000122070312
2021-04-27,2021-04-27,135.00999450683594,135.41000366210938,134.11000061035156,134.38999938964844
2021-04-28,2021-04-28,134.30999755859375,135.02000427246094,133.0800018310547,133.5800018310547
2021-04-29,2021-04-29,136.47000122070312,137.07000732421875,132.4499969482422,133.47999572753906
2021-04-30,2021-04-30,131.77999877929688,133.55999755859375,131.07000732421875,131.4600067138672
2021-05-03,2021-05-03,132.0399932861328,134.07000732421875,131.8300018310547,132.5399932861328
2021-05-04,2021-05-04,131.19000244140625,131.49000549316406,126.69999694824219,127.8499984741211
2021-05-05,2021-05-05,129.1999969482422,130.4499969482422,127.97000122070312,128.10000610351562
2021-05-06,2021-05-06,127.88999938964844,129.75,127.12999725341797,129.74000549316406
2021-05-07,2021-05-07,130.85000610351562,131.25999450683594,129.47999572753906,130.2100067138672
2021-05-10,2021-05-10,129.41000366210938,129.5399932861328,126.80999755859375,126.8499984741211
2021-05-11,2021-05-11,123.5,126.2699966430664,122.7699966430664,125.91000366210938
2021-05-12,2021-05-12,123.4000015258789,124.63999938964844,122.25,122.7699966430664
2021-05-13,2021-05-13,124.58000183105469,126.1500015258789,124.26000213623047,124.97000122070312
2021-05-14,2021-05-14,126.25,127.88999938964844,125.8499984741211,127.44999694824219
